Season,Facility ID,Latitude,Longitude,Street1,Street2,City,State,Postal Code,Country,Facility Name,URL,Phone,Contact,Begin Date,End Date,Begin Time,End Time,Begin DateTime,End DateTime,Recurrence Days,Hours,Eligibility,Cost,Notes,Record ID,Location,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
2015-2016,154,41.807899,-87.684699,4710 S WESTERN AVE,,CHICAGO,IL,60609,United States of America,Walgreens,http://www.Walgreens.com,773-579-366,Pharmacy,09/01/2014,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 8:00 AM-8:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 10:00 AM-5:00 PM",,Call for details.,,2015-2016_154,"(41.807899, -87.684699)",56,55,22248,85,3
2018-2019,10,41.70439,-87.68197,10402 S. Western Ave.,,Chicago,IL,60643,United States of America,19th Ward Office,,,,09/22/2018,09/22/2018,10:00:00,15:00:00,09/22/2018 10:00:00 AM,09/22/2018 03:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_10,"(41.70439, -87.68197)",33,71,22212,553,42
2017-2018,167,41.83196,-87.61641,3405 S KING DR,,CHICAGO,IL,60616,United States of America,Walgreens,http://www.Walgreens.com,312-326-4058,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",24 Hours,,Call for details.,,2017-2018_167,"(41.83196, -87.61641)",40,1,21194,581,10
2018-2019,12,41.78059,-87.64621,832 W. 63rd St.,,Chicago,IL,60621,United States of America,20th Ward-Whole Foods Family Flu Day,,,,10/20/2018,10/20/2018,9:00:00,14:00:00,10/20/2018 09:00:00 AM,10/20/2018 02:00:00 PM,Saturday,,,"No cost to individual. If insured, insurance will be billed.",,2018-2019_12,"(41.78059, -87.64621)",11,66,21559,22,2
2017-2018,282,41.91082,-87.64665,711 W NORTH AVE STE 204,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,312-944-867,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 10:00 AM-5:00 PM, Sat: Closed, Sun: Closed",,Call for details.,,2017-2018_282,"(41.91082, -87.64665)",54,37,14926,108,11
2017-2018,184,41.8305,-87.6736,1926 W 35TH ST,,CHICAGO,IL,60609,United States of America,Walgreens,http://www.Walgreens.com,773-254-5523,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-5:00 PM, Sat: 9:00 AM-5:00 PM, Sun: 9:00 AM-5:00 PM",,Call for details.,,2017-2018_184,"(41.8305, -87.6736)",43,56,14924,192,1
2017-2018,289,41.93984,-87.65216,912 W BELMONT AVE,,CHICAGO,IL,60657,United States of America,Walgreens,http://www.Walgreens.com,773-665-8990,Pharmacy,10/01/2016,09/01/2020,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 9:00 AM-6:30 PM, Sat: Closed, Sun: Closed",,Call for details.,,2017-2018_289,"(41.93984, -87.65216)",22,57,4449,681,25
2014-2015,195,41.9108229,-87.64664636,711 W NORTH AVE STE 204,,CHICAGO,IL,60610,United States of America,Walgreens,http://www.Walgreens.com,,Pharmacy,09/01/2014,04/15/2015,,,,,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday","Mon-Fri: 10:00 AM-5:00 PM, Sat: Closed, Sun: Closed",,,,2014-2015_195,"(41.9108229, -87.64664636)",54,37,14926,108,11
2015-2016,310,41.9530124,-87.7875707,6426 West Irving Park Rd,,Chicago,IL,60634,United States of America,Jewel-Osco 3224,http://www.jeweloscopharmacies.com,773-725-2900,,08/12/2014,03/01/2016,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_310,"(41.9530124, -87.7875707)",52,17,22254,442,19
2015-2016,331,41.9278717,-87.6732588,2550 N. Clybourn Ave,,Chicago,IL,60614,United States of America,Jewel-Osco 2502,http://www.jeweloscopharmacies.com,773-348-7421,,08/12/2014,03/01/2016,,,,,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Mon-Fri: 8:00 AM-9:00 PM, Sat-Sun: 9:00 AM-5:00 PM",,Call for details.,,2015-2016_331,"(41.9278717, -87.6732588)",16,68,21190,743,40
