Facility,Community Area (#),Phone,"FQHC, Look-alike, or Neither; Special Notes",Address,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
PrimeCare Northwest,HUMBOLDT PARK (23),(773) 278-6868,FQHC,"1649 N. Pulaski60639
(41.91140136200045, -87.72635381199967)",1,24,22615,391,49,27
ACCESS at St. Francis Health Center,ROGERS PARK (1),(866) 882-2237,FQHC,"7464 N. Clark60626
(42.017604107000466, -87.67559248499964)",9,10,21853,489,5,3
Alivio Medical Center - John Spry Community School and Community Links High School,SOUTH LAWNDALE (30),(773) 254-1400,FQHC; School-based health center (open to community),"2400 S Marshall Blvd60623
(41.848282603000484, -87.69904124599964)",57,32,21569,262,1,29
Erie Family Health Center - Division St.,WEST TOWN (24) ,(312) 666-3494,FQHC,"2418 W. Division60622
(41.90302998900046, -87.68782578699967)",4,25,21560,302,49,10
Near North - Komed Holman Health Center,OAKLAND (36),(773) 268-7600,FQHC,"4259 S. Berkeley60653
(41.81737008500045, -87.60057552799964)",36,2,4301,220,10,1
Cook County - Fantus Health Center,NEAR WEST SIDE (28),(312) 864-8682,neither; county government clinic,"621 S. Winchester60612
(41.87148152800046, -87.67500796699966)",28,29,21184,5,46,48
Circle Family Healthcare Network - Division,AUSTIN (25),(773) 921-8100,FQHC,"4909 W. Division60651
(41.90231220400045, -87.74919988799968)",5,26,4299,585,45,4
PrimeCare Portage Park,PORTAGE PARK (15),(773) 736-1830,FQHC,"5647 W. Addison60634
(41.94584029000049, -87.76800760099968)",52,15,22254,342,44,25
Aunt Martha's Roseland Community Health Center,ROSELAND (49),(877) 692-8686,FQHC,"200 E. 115th St60628
(41.68540951200049, -87.61792957899968)",19,45,21861,253,43,30
University of Chicago- Washinton Park Children's Free Health Clinic ,WASHINGTON PARK (40), (773) 924-0220,neither; pediatric and adolescents only,"5350 S Prairie Ave60615
(41.79748096800046, -87.61931869899968)",10,7,21192,401,9,12
