,Facility,Community Area (#),Phone,"FQHC, Look-alike, or Neither; Special Notes",Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux,address,latitude,longtitude
0,PrimeCare Northwest,HUMBOLDT PARK (23),(773) 278-6868,FQHC,1.0,24.0,22615,391.0,49.0,27.0,"1649 N. Pulaski60639
",41.91140136200045,-87.72635381199967
1,ACCESS at St. Francis Health Center,ROGERS PARK (1),(866) 882-2237,FQHC,9.0,10.0,21853,489.0,5.0,3.0,"7464 N. Clark60626
",42.017604107000466,-87.67559248499964
2,Alivio Medical Center - John Spry Community School and Community Links High School,SOUTH LAWNDALE (30),(773) 254-1400,FQHC; School-based health center (open to community),57.0,32.0,21569,262.0,1.0,29.0,"2400 S Marshall Blvd60623
",41.848282603000484,-87.69904124599964
3,Erie Family Health Center - Division St.,WEST TOWN (24) ,(312) 666-3494,FQHC,4.0,25.0,21560,302.0,49.0,10.0,"2418 W. Division60622
",41.90302998900046,-87.68782578699967
4,Near North - Komed Holman Health Center,OAKLAND (36),(773) 268-7600,FQHC,36.0,2.0,4301,220.0,10.0,1.0,"4259 S. Berkeley60653
",41.81737008500045,-87.60057552799964
5,Cook County - Fantus Health Center,NEAR WEST SIDE (28),(312) 864-8682,neither; county government clinic,28.0,29.0,21184,5.0,46.0,48.0,"621 S. Winchester60612
",41.87148152800046,-87.67500796699966
6,Circle Family Healthcare Network - Division,AUSTIN (25),(773) 921-8100,FQHC,5.0,26.0,4299,585.0,45.0,4.0,"4909 W. Division60651
",41.90231220400045,-87.74919988799968
7,PrimeCare Portage Park,PORTAGE PARK (15),(773) 736-1830,FQHC,52.0,15.0,22254,342.0,44.0,25.0,"5647 W. Addison60634
",41.94584029000049,-87.76800760099968
8,Aunt Martha's Roseland Community Health Center,ROSELAND (49),(877) 692-8686,FQHC,19.0,45.0,21861,253.0,43.0,30.0,"200 E. 115th St60628
",41.68540951200049,-87.61792957899968
9,University of Chicago- Washinton Park Children's Free Health Clinic ,WASHINGTON PARK (40), (773) 924-0220,neither; pediatric and adolescents only,10.0,7.0,21192,401.0,9.0,12.0,"5350 S Prairie Ave60615
",41.79748096800046,-87.61931869899968
10,Cook County - John Sengstacke Health Center,GRAND BOULEVARD (38),(312) 572-2900,neither; county government clinic,10.0,4.0,21192,394.0,9.0,12.0,"450 E. 51st St60615
",41.80213342400049,-87.61529021799964
11,Heartland Health Centers - Rogers Park,WEST RIDGE (2),(773) 296-7580,FQHC,12.0,20.0,22528,341.0,5.0,3.0,"2200 W. Touhy60645
",42.01227634000048,-87.6864202599997
12,Erie Family Health Center - Teen Health Center,LINCOLN SQUARE (4),(312) 666-3494,FQHC; adolescent health only,15.0,6.0,22616,225.0,18.0,13.0,"1945 W Wilson Ave60640
",41.96509179700047,-87.67784704099967
13,Near North - Louise Landau Health Center,HUMBOLDT PARK (23),(773) 826-3450,FQHC,5.0,24.0,4299,150.0,46.0,41.0,"800 N. Kedzie60651
",41.89568381000049,-87.70658510099969
14,Heartland Health Centers - Lincoln Square,LINCOLN SQUARE (4),(773) 275-1680,FQHC,20.0,6.0,21849,666.0,24.0,13.0,"2645 W. Lawrence60625
",41.968531992000464,-87.69534853899967
15,ACCESS Grand Boulevard Family Health Center,FULLER PARK (37),(866) 882-2237,FQHC,37.0,3.0,14924,224.0,9.0,12.0,"5401 S. Wentworth Ave.60609
",41.79671972200049,-87.63052323499966
16,Near North - Cottage View Health Center,KENWOOD (39),(773) 548-1170,FQHC,10.0,5.0,21192,461.0,10.0,1.0,"4829 S. Cottage Grove60615
",41.80722741900047,-87.60648706099965
17,Infant Welfare Society,LOGAN SQUARE (22),(773) 782-2800,"neither; pediatric, adolescent, and women's health only",1.0,23.0,22535,186.0,17.0,15.0,"3600 W. Fullerton Ave60647
",41.92463713900048,-87.71795042699966
18,Erie Family Health Center -- Helping Hands,ALBANY PARK (14),(312) 666-3494,FQHC,20.0,14.0,21849,258.0,20.0,2.0,"4747 N. Kedzie60625
",41.968099048000454,-87.70842421999964
19,Erie Family Health Center - West Town,WEST TOWN (24) ,(312) 666-3494,FQHC,4.0,25.0,21560,520.0,41.0,24.0,"1701 W. Superior60622
",41.895104121000486,-87.6698091459997
20,ACCESS Westside Family Health Center,NORTH LAWNDALE (29),(866) 882-2237,FQHC,57.0,30.0,21569,33.0,14.0,36.0,"3752 W. 16th Street60623
",41.85895836900045,-87.71930103399967
21,PCC Community Wellness Center at Loretto Hospital,AUSTIN (25),(773) 537-0020,FQHC,32.0,26.0,22216,673.0,45.0,4.0,"645 S. Central Ave., Suite 60060644
",41.892441334000466,-87.76526403599968
22,PCC West Town Family Health Center,WEST TOWN (24) ,(773) 292-8300,FQHC,4.0,25.0,21560,301.0,49.0,10.0,"1044 N. Mozart60622
",41.900627973000496,-87.69811748899969
23,Friend Family Health Center- Beethoven,GRAND BOULEVARD (38),(773) 585-1485,FQHC,37.0,4.0,14924,415.0,9.0,12.0,"25 W. 47th Street60609
",41.809199537000495,-87.62686437599967
24,ACCESS Sinai,NORTH LAWNDALE (29),(866) 882-2237,FQHC,43.0,33.0,14920,126.0,26.0,8.0,"2653 W. Odgen60608
",41.85139216100049,-87.66607919199964
25,Alivio Medical Center- Jose Clemente Orozco Academy of Fine Arts and Sciences ,LOWER WEST SIDE (31),(773) 254-1400,FQHC; School-based health center (open to community),43.0,33.0,14920,366.0,26.0,8.0,"1940 W 18th St60608
",41.85770737900049,-87.67464773399968
26,ACCESS at the Illinois Eye Institute,DOUGLAS (35),(866) 882-2237,FQHC,40.0,1.0,21194,25.0,9.0,12.0,"3241 S. Michigan Ave60616
",41.83562352500047,-87.62331779899966
27,Heartland Health Outreach- Uptown,UPTOWN (3) ,(773) 751-1700,FQHC; specialize in healthcare for homeless,15.0,31.0,22616,241.0,39.0,37.0,"1015 W Lawrence Ave60640
",41.96907406200046,-87.65537222099965
28,Erie Family Health Center - - Johnson School,NORTH LAWNDALE (29),(312) 666-3494,FQHC; School-based health center (open to community),57.0,30.0,21569,132.0,14.0,36.0,"1504 S. Albany60623
",41.86114281400046,-87.70300287799967
29,ACCESS Humboldt Park Family Health Center,HUMBOLDT PARK (23),(866) 882-2237,FQHC,1.0,24.0,22535,455.0,49.0,10.0,"3202 W. North Ave60647
",41.9101565470005,-87.70714150499964
30,PrimeCare West Town,WEST TOWN (24) ,(312) 633-5841,FQHC,4.0,25.0,21560,516.0,41.0,24.0,"1431 N. Western60622
",41.90769253200045,-87.68707847899964
31,Friend Family Health Center-Pulaski,WEST ELSDON (62),(773) 702-0660,FQHC,58.0,60.0,21867,774.0,15.0,23.0,"5635 S. Pulaski60629
",41.7902800870005,-87.72304338699968
32,Howard Brown Health Center,UPTOWN (3) ,(773) 388-1600,Look-alike,53.0,31.0,21186,577.0,39.0,37.0,"4025 N. Sheridan60613
",41.95519135300049,-87.65452410999967
33,Chicago Family Health Center - Roseland,ROSELAND (49),(773) 995-3416,FQHC,19.0,45.0,21861,237.0,43.0,30.0,"120 W. 111th St60628
",41.692646838000485,-87.62010043099968
34,ACCESS Warren Family Health Center,NEAR WEST SIDE (28),(866) 882-2237,FQHC,28.0,29.0,21184,37.0,46.0,48.0,"2409 W. Warren60612
",41.88206235300049,-87.68691060499964
35,Mercy Family Health Center - Henry Booth House ,DOUGLAS (35),(312) 949-2100,Look-alike,40.0,1.0,21194,191.0,9.0,48.0,"2907 S. Wabash, suite 10660616
",41.841746928000475,-87.62515923099966
36,"TCA Health, Inc",RIVERDALE (54),(773) 995-6300,FQHC,,,3906,,,,"1029 E.130th Street60826
",39.52368635500045,-99.11415045099966
37,ACCESS Brandon Family Health Center,SOUTH CHICAGO (46),(866) 882-2237,FQHC,25.0,42.0,21202,506.0,47.0,47.0,"8300 S. Brandon Ave.60617
",41.74455832500047,-87.54670730799967
38,Lawndale Christian Health Center - Homan Square,NORTH LAWNDALE (29),(773) 843-3002,FQHC,30.0,30.0,21572,98.0,14.0,36.0,"3517 W. Arthington60624
",41.869948088000456,-87.71355608099964
39,Christian Community Health Center,WASHINGTON HEIGHTS (73),(773) 233-4100,FQHC,13.0,72.0,21861,592.0,22.0,18.0,"9718 S. Halsted60628
",41.71723502800046,-87.64319993299966
40,ACCESS Centro Medico San Rafael,SOUTH LAWNDALE (30),(866) 882-2237,FQHC,57.0,32.0,21569,291.0,1.0,29.0,"3204 W. 26th St.60623
",41.844552011000474,-87.70532542499967
41,ACCESS Evanston-Rogers Park Family Health Center,ROGERS PARK (1),(866) 882-2237,FQHC,9.0,10.0,21853,357.0,5.0,3.0,"1555 W. Howard St.60626
",42.01934252800049,-87.67036084999967
42,UIC - Mile Square - Back of the Yards,NEW CITY (61),(312) 996-2000,FQHC,37.0,59.0,14924,123.0,3.0,12.0,"4630 S. Bishop Pl60609
",41.809498317000475,-87.66136762899964
43,Cook County - Woodlawn Health Center,WOODLAWN (42),(312) 747-7705,neither; county government clinic,60.0,9.0,22260,27.0,4.0,53.0,"6337 S. Woodlawn60637
",41.77943406500049,-87.59614278099968
44,Circle Family Health Care Network - Parkside,AUSTIN (25),(773) 921-9669,FQHC,32.0,26.0,22216,618.0,7.0,52.0,"115 N. Parkside60644
",41.88279076500049,-87.76654319699969
45,Near North- Kostner Health Center,HUMBOLDT PARK (23),(312) 216-8020,FQHC,5.0,24.0,4299,286.0,45.0,4.0,"1520 N. Kostner60651
",41.9081018060005,-87.73629863999969
46,Near North - Uptown Community Health Center,UPTOWN (3) ,(773) 878-8098,FQHC,15.0,31.0,22616,634.0,39.0,40.0,"4867 N. Broadway60640
",41.97082279800048,-87.65967393099965
47,Near North - Denny Community Health Center,NEAR NORTH SIDE (8),(312) 926-3964,FQHC,54.0,37.0,14926,17.0,11.0,22.0,"30 W. Chicago60610
",41.905231123000476,-87.63215773399969
48,Cook County - Dr. Jorge Prieto Health Center,SOUTH LAWNDALE (30),(773) 521-0750,neither; county government clinic,57.0,32.0,21569,194.0,28.0,14.0,"2424 S. Pulaski60623
",41.8471388530005,-87.72467787299968
49,Heartland Health Centers - Wilson,UPTOWN (3) ,(773) 506-4283,FQHC,15.0,31.0,22616,20.0,39.0,37.0,"845 W Wilson Ave60640
",41.96543246700048,-87.65107052999969
50,Simpson Academy ,NEAR WEST SIDE (28),(773) 534-7812,neither; School-based health center (open to all CPS students) operated by Rush University,43.0,29.0,14920,96.0,23.0,48.0,"1321 S. Paulina60608
",41.86440905100045,-87.66878964499966
51,ACCESS Doctors Medical Center,GARFIELD RIDGE (56),(866) 882-2237,FQHC,7.0,53.0,22268,587.0,6.0,35.0,"6240 W. 55th St.60638
",41.79243370500046,-87.77951803499968
52,Chicago Family Health Center - East Side,EAST SIDE (52),(773) 646-0976,FQHC,25.0,49.0,21202,602.0,47.0,47.0,"10536 S. Ewing Ave60617
",41.70350905900045,-87.53530736599964
53,Beloved Community Family Wellness Center,ENGLEWOOD (68),(773) 651-3828,FQHC,11.0,66.0,21559,479.0,32.0,31.0,"6821 S. Halsted60621
",41.7699508820005,-87.64450400599969
54,Heartland Health Centers - Lake View,LAKE VIEW (6),(773) 506-4283,FQHC; pediatric care  only,22.0,57.0,4449,681.0,25.0,38.0,"3048 W Wilton Ave60657
",41.937737893000474,-87.65287778099969
55,"Cook County - Children’s Advocacy Center 
",NEAR WEST SIDE (28),(312) 492-3861,neither; county government clinic; pediatric care only,43.0,29.0,14920,96.0,23.0,48.0,"1240 S. Damen60608
",41.8655853190005,-87.67626629399967
56,Friend Family Health Center - Ashland,NEW CITY (61),(773) 702-0660,FQHC,37.0,59.0,14924,740.0,4.0,53.0,"4802 S. Ashland60609
",41.806508867000446,-87.66494691399964
57,UIC - Mile Square Health Center,NEAR WEST SIDE (28),(312) 996-2000,FQHC,43.0,29.0,14920,96.0,23.0,48.0,"1220 S. Wood60608
",41.86608735200048,-87.67133141199969
